Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,time_sec
,,,0
,,,1
88.0,20.9,96.0,2
,,,3
87.0,21.0,96.0,4
,,,5
88.0,21.0,97.0,6
,,,7
88.0,21.0,96.0,8
,,,9
88.0,21.0,96.0,10
,,,11
88.0,21.0,96.0,12
,,,13
89.0,21.0,97.0,14
,,,15
90.0,21.0,97.0,16
,,,17
90.0,21.0,97.0,18
,,,19
79.0,21.0,97.0,20
,,,21
79.0,21.0,97.0,22
,,,23
79.0,21.0,97.0,24
,,,25
79.0,21.0,97.0,26
,,,27
79.0,21.0,97.0,28
,,,29
78.0,21.0,97.0,30
,,,31
,21.0,97.0,32
,,,33
,21.0,97.0,34
,,,35
,21.0,97.0,36
,,,37
,21.0,96.0,38
,,,39
,21.1,96.0,40
,,,41
,21.1,96.0,42
,,,43
78.0,21.1,96.0,44
,,,45
78.0,21.1,96.0,46
,,,47
78.0,21.0,97.0,48
,,,49
78.0,21.0,97.0,50
,,,51
78.0,21.0,97.0,52
,,,53
78.0,21.0,98.0,54
,,,55
78.0,21.0,98.0,56
,,,57
78.0,21.0,98.0,58
,,,59
89.0,21.0,98.0,60
,,,61
89.0,21.0,98.0,62
,,,63
88.0,21.0,98.0,64
,,,65
88.0,21.0,98.0,66
,,,67
86.0,21.0,98.0,68
,,,69
85.0,21.0,97.0,70
,,,71
85.0,21.0,97.0,72
,,,73
85.0,21.0,97.0,74
,,,75
85.0,21.0,97.0,76
,,,77
85.0,21.0,97.0,78
,,,79
85.0,21.0,97.0,80
,,,81
86.0,21.1,97.0,82
,,,83
86.0,21.1,97.0,84
,,,85
86.0,21.1,97.0,86
,,,87
86.0,21.1,97.0,88
,,,89
85.0,21.1,97.0,90
,,,91
85.0,21.1,97.0,92
,,,93
84.0,21.1,97.0,94
,,,95
84.0,21.1,97.0,96
,,,97
84.0,21.0,97.0,98
,,,99
84.0,21.0,97.0,100
,,,101
85.0,21.0,97.0,102
,,,103
85.0,21.0,97.0,104
,,,105
85.0,21.0,97.0,106
,,,107
86.0,21.0,97.0,108
,,,109
85.0,21.0,97.0,110
,,,111
86.0,21.0,97.0,112
,,,113
86.0,21.0,97.0,114
,,,115
85.0,21.0,97.0,116
,,,117
86.0,21.0,97.0,118
,,,119
86.0,21.0,97.0,120
,,,121
86.0,21.0,97.0,122
,,,123
87.0,21.0,97.0,124
,,,125
87.0,21.0,97.0,126
,,,127
88.0,21.0,97.0,128
,,,129
88.0,21.0,97.0,130
,,,131
89.0,21.0,97.0,132
,,,133
89.0,21.0,97.0,134
,,,135
90.0,21.0,97.0,136
,,,137
90.0,21.0,97.0,138
,,,139
91.0,21.0,97.0,140
,,,141
91.0,21.0,97.0,142
,,,143
91.0,21.0,97.0,144
,,,145
92.0,21.1,97.0,146
,,,147
91.0,21.1,97.0,148
,,,149
