Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
,,,,,0
,,,,,1
,,,,,2
,,,,,3
70.0,,100.0,27.0,,4
,,,,,5
,,,,,6
,,,,,7
69.0,,100.0,27.0,,8
,,,,,9
,,,,,10
,,,,,11
69.0,,100.0,12.0,,12
,,,,,13
,,,,,14
,,,,,15
69.0,,100.0,16.0,,16
,,,,,17
,,,,,18
,,,,,19
69.0,,100.0,16.0,,20
,,,,,21
,,,,,22
,,,,,23
69.0,,100.0,16.0,,24
,,,,,25
,,,,,26
,,,,,27
69.0,,100.0,16.0,,28
,,,,,29
,,,,,30
,,,,,31
69.0,,100.0,12.0,,32
,,,,,33
,,,,,34
,,,,,35
69.0,,100.0,12.0,,36
,,,,,37
,,,,,38
,,,,,39
69.0,,100.0,12.0,,40
,,,,,41
,,,,,42
,,,,,43
69.0,,100.0,12.0,,44
,,,,,45
,,,,,46
,,,,,47
69.0,,100.0,12.0,,48
,,,,,49
,,,,,50
,,,,,51
69.0,,100.0,12.0,,52
,,,,,53
,,,,,54
,,,,,55
69.0,,100.0,12.0,,56
,,,,,57
,,,,,58
,,,,,59
61.0,,100.0,12.0,,60
,,,,,61
,,,,,62
,,,,,63
60.0,,100.0,13.0,,64
,,,,,65
,,,,,66
,,,,,67
60.0,,100.0,13.0,,68
,,,,,69
,,,,,70
,,,,,71
68.0,,100.0,13.0,,72
,,,,,73
,,,,,74
,,,,,75
68.0,,100.0,13.0,,76
,,,,,77
,,,,,78
,,,,,79
68.0,,100.0,12.0,,80
,,,,,81
,,,,,82
,,,,,83
68.0,,100.0,12.0,,84
,,,,,85
,,,,,86
,,,,,87
68.0,,100.0,13.0,,88
,,,,,89
,,,,,90
,,,,,91
67.0,,100.0,13.0,,92
,,,,,93
,,,,,94
,,,,,95
67.0,,100.0,12.0,,96
,,,,,97
,,,,,98
,,,,,99
67.0,,100.0,12.0,,100
,,,,,101
,,,,,102
,,,,,103
66.0,,100.0,12.0,,104
,,,,,105
,,,,,106
,,,,,107
66.0,,100.0,12.0,,108
,,,,,109
,,,,,110
,,,,,111
65.0,,100.0,12.0,,112
,,,,,113
,,,,,114
,,,,,115
65.0,,100.0,12.0,,116
,,,,,117
,,,,,118
,,,,,119
65.0,,100.0,12.0,,120
,,,,,121
,,,,,122
,,,,,123
65.0,,100.0,12.0,,124
,,,,,125
,,,,,126
,,,,,127
57.0,,100.0,12.0,,128
,,,,,129
,,,,,130
,,,,,131
57.0,,100.0,12.0,,132
,,,,,133
,,,,,134
,,,,,135
57.0,,100.0,12.0,,136
,,,,,137
,,,,,138
,,,,,139
57.0,,100.0,12.0,,140
,,,,,141
,,,,,142
,,,,,143
57.0,,100.0,12.0,,144
,,,,,145
,,,,,146
,,,,,147
57.0,,100.0,12.0,,148
