Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
,,,,,0
,,,,,1
,,,,,2
,,,,,3
77.0,,90.0,,,4
,,,,,5
78.0,,98.0,,,6
,,,,,7
79.0,,99.0,,,8
,,,,,9
79.0,,99.0,,,10
,,,,,11
80.0,,99.0,,,12
,,,,,13
80.0,,99.0,,,14
,,,,,15
80.0,,99.0,,,16
,,,,,17
79.0,,99.0,,,18
,,,,,19
77.0,,99.0,,,20
,,,,,21
76.0,,99.0,,,22
,,,,,23
75.0,,99.0,,,24
,,,,,25
76.0,,99.0,,,26
,,,,,27
76.0,,99.0,,,28
,,,,,29
77.0,,99.0,,,30
,,,,,31
77.0,,100.0,,,32
,,,,,33
79.0,,100.0,,,34
,,,,,35
80.0,,100.0,,,36
,,,,,37
82.0,,100.0,,,38
,,,,,39
82.0,,100.0,,,40
,,,,,41
81.0,,100.0,,,42
,,,,,43
79.0,,100.0,,,44
,,,,,45
77.0,,100.0,,,46
,,,,,47
78.0,,100.0,,,48
,,,,,49
77.0,,100.0,,,50
,,,,,51
77.0,,100.0,,,52
,,,,,53
76.0,,100.0,,,54
,,,,,55
77.0,,100.0,,,56
,,,,,57
77.0,,100.0,,,58
,,,,,59
77.0,,100.0,,,60
,,,,,61
76.0,,100.0,,,62
,,,,,63
75.0,,100.0,,,64
,,,,,65
75.0,,100.0,,,66
,,,,,67
75.0,,100.0,,,68
,,,,,69
75.0,,100.0,,,70
,,,,,71
75.0,,100.0,,,72
,,,,,73
75.0,,100.0,,,74
,,,,,75
76.0,,100.0,,,76
,,,,,77
77.0,,100.0,,,78
,,,,,79
77.0,,100.0,,,80
,,,,,81
77.0,,100.0,,,82
,,,,,83
77.0,,100.0,,,84
,,,,,85
78.0,,100.0,,,86
,,,,,87
78.0,,100.0,,,88
,,,,,89
78.0,,100.0,,,90
,,,,,91
78.0,,100.0,,,92
,,,,,93
78.0,,100.0,,,94
,,,,,95
78.0,,100.0,,,96
,,,,,97
78.0,,100.0,,,98
,,,,,99
79.0,,100.0,,,100
,,,,,101
79.0,,100.0,,,102
,,,,,103
79.0,,100.0,,,104
,,,,,105
79.0,,100.0,,,106
,,,,,107
79.0,,100.0,,,108
,,,,,109
80.0,,100.0,,,110
,,,,,111
80.0,,100.0,,,112
,,,,,113
79.0,,100.0,,,114
,,,,,115
78.0,,100.0,,,116
,,,,,117
78.0,,100.0,,,118
,,,,,119
77.0,,100.0,,,120
,,,,,121
77.0,,100.0,,,122
,,,,,123
78.0,,100.0,,,124
,,,,,125
75.0,,99.0,,,126
,,,,,127
71.0,,99.0,,,128
,,,,,129
67.0,,99.0,,,130
,,,,,131
68.0,,99.0,,,132
,,,,,133
75.0,,100.0,,,134
,,,,,135
77.0,,100.0,,,136
,,,,,137
75.0,,100.0,,,138
